well_id,fold,horizontal_relative
4654e7de,1,4654e7de__horizontal_well.csv
466fc788,4,466fc788__horizontal_well.csv
46a301e9,3,46a301e9__horizontal_well.csv
46a7190b,0,46a7190b__horizontal_well.csv
46d24a09,2,46d24a09__horizontal_well.csv
46d41ff6,4,46d41ff6__horizontal_well.csv
46dfcfca,0,46dfcfca__horizontal_well.csv
47222616,0,47222616__horizontal_well.csv
47ee27ab,4,47ee27ab__horizontal_well.csv
481de5fc,3,481de5fc__horizontal_well.csv
48c1f673,3,48c1f673__horizontal_well.csv
4936af16,0,4936af16__horizontal_well.csv
493b5b31,0,493b5b31__horizontal_well.csv
49dbc14c,2,49dbc14c__horizontal_well.csv
4a035ec2,3,4a035ec2__horizontal_well.csv
4a335117,1,4a335117__horizontal_well.csv
4a8ecc0b,4,4a8ecc0b__horizontal_well.csv
4b462989,3,4b462989__horizontal_well.csv
4b831d20,3,4b831d20__horizontal_well.csv
4c2208f5,4,4c2208f5__horizontal_well.csv
4c3168cf,3,4c3168cf__horizontal_well.csv
4c3df468,0,4c3df468__horizontal_well.csv
4caa7289,2,4caa7289__horizontal_well.csv
4cd1ac61,1,4cd1ac61__horizontal_well.csv
4cecf7b3,2,4cecf7b3__horizontal_well.csv
4ddde4c1,0,4ddde4c1__horizontal_well.csv
4e050c92,4,4e050c92__horizontal_well.csv
4ed93db6,3,4ed93db6__horizontal_well.csv
4f3eb9e9,3,4f3eb9e9__horizontal_well.csv
4f4ac5ce,3,4f4ac5ce__horizontal_well.csv
4f4afcc6,1,4f4afcc6__horizontal_well.csv
4f69febf,2,4f69febf__horizontal_well.csv
4fbe9c06,3,4fbe9c06__horizontal_well.csv
504c8b08,0,504c8b08__horizontal_well.csv
511e1db0,2,511e1db0__horizontal_well.csv
512943b2,2,512943b2__horizontal_well.csv
5138a660,4,5138a660__horizontal_well.csv
516088b7,0,516088b7__horizontal_well.csv
521a7819,1,521a7819__horizontal_well.csv
5254b6db,1,5254b6db__horizontal_well.csv
529e88ca,3,529e88ca__horizontal_well.csv
52f1e77a,3,52f1e77a__horizontal_well.csv
5305524b,3,5305524b__horizontal_well.csv
53134831,0,53134831__horizontal_well.csv
5397ceb1,4,5397ceb1__horizontal_well.csv
53f23031,3,53f23031__horizontal_well.csv
543198e8,0,543198e8__horizontal_well.csv
54753541,4,54753541__horizontal_well.csv
54a7e3c2,2,54a7e3c2__horizontal_well.csv
5542c301,1,5542c301__horizontal_well.csv
5567d551,4,5567d551__horizontal_well.csv
55efee7f,0,55efee7f__horizontal_well.csv
5663b2b7,0,5663b2b7__horizontal_well.csv
5693dde2,0,5693dde2__horizontal_well.csv
56b00794,2,56b00794__horizontal_well.csv
57796579,2,57796579__horizontal_well.csv
577eec7c,3,577eec7c__horizontal_well.csv
57f05c51,3,57f05c51__horizontal_well.csv
58850d2c,1,58850d2c__horizontal_well.csv
58fa8486,1,58fa8486__horizontal_well.csv
591cc951,2,591cc951__horizontal_well.csv
593876b6,4,593876b6__horizontal_well.csv
59f8b2e8,4,59f8b2e8__horizontal_well.csv
5a1a8fd8,3,5a1a8fd8__horizontal_well.csv
5a5269a9,3,5a5269a9__horizontal_well.csv
5a5d1982,0,5a5d1982__horizontal_well.csv
5a63b5d1,2,5a63b5d1__horizontal_well.csv
5aa03df7,3,5aa03df7__horizontal_well.csv
5aa403d0,1,5aa403d0__horizontal_well.csv
5aef5c6c,0,5aef5c6c__horizontal_well.csv
5b7b6324,3,5b7b6324__horizontal_well.csv
5bd25f59,3,5bd25f59__horizontal_well.csv
5beded95,4,5beded95__horizontal_well.csv
5cb483ac,2,5cb483ac__horizontal_well.csv
5cdd8dbc,4,5cdd8dbc__horizontal_well.csv
5d11dfb5,1,5d11dfb5__horizontal_well.csv
5d7198fd,3,5d7198fd__horizontal_well.csv
5def1ce5,3,5def1ce5__horizontal_well.csv
5eae34a8,2,5eae34a8__horizontal_well.csv
5f4d2a52,3,5f4d2a52__horizontal_well.csv
5f6756c5,1,5f6756c5__horizontal_well.csv
5f75f796,4,5f75f796__horizontal_well.csv
5fb1c15f,0,5fb1c15f__horizontal_well.csv
5fffa282,4,5fffa282__horizontal_well.csv
60e37807,4,60e37807__horizontal_well.csv
61f27424,2,61f27424__horizontal_well.csv
62569ae3,4,62569ae3__horizontal_well.csv
62a6f539,1,62a6f539__horizontal_well.csv
633774dc,0,633774dc__horizontal_well.csv
63559d57,2,63559d57__horizontal_well.csv
647f2a41,2,647f2a41__horizontal_well.csv
65156b96,1,65156b96__horizontal_well.csv
653612bc,3,653612bc__horizontal_well.csv
656a067b,2,656a067b__horizontal_well.csv
65a5466a,2,65a5466a__horizontal_well.csv
660d9546,0,660d9546__horizontal_well.csv
6767c111,2,6767c111__horizontal_well.csv
67847288,2,67847288__horizontal_well.csv
67a8da4a,1,67a8da4a__horizontal_well.csv
684a6fc1,0,684a6fc1__horizontal_well.csv
698930d1,3,698930d1__horizontal_well.csv
699ea575,2,699ea575__horizontal_well.csv
69c1bdad,0,69c1bdad__horizontal_well.csv
69e41fa6,0,69e41fa6__horizontal_well.csv
6a0ff78e,2,6a0ff78e__horizontal_well.csv
6a8fa194,3,6a8fa194__horizontal_well.csv
6ae68655,3,6ae68655__horizontal_well.csv
6d1d74e1,1,6d1d74e1__horizontal_well.csv
6d590e26,2,6d590e26__horizontal_well.csv
6d6d93af,2,6d6d93af__horizontal_well.csv
6dbe4b60,2,6dbe4b60__horizontal_well.csv
6e6d122c,4,6e6d122c__horizontal_well.csv
6e9ccd38,4,6e9ccd38__horizontal_well.csv
6ea22614,0,6ea22614__horizontal_well.csv
6ede926a,2,6ede926a__horizontal_well.csv
708caea9,1,708caea9__horizontal_well.csv
70925e23,1,70925e23__horizontal_well.csv
70e1788b,3,70e1788b__horizontal_well.csv
71642c7d,4,71642c7d__horizontal_well.csv
71ccf778,3,71ccf778__horizontal_well.csv
7224331b,3,7224331b__horizontal_well.csv
722cf0d8,4,722cf0d8__horizontal_well.csv
7256229b,0,7256229b__horizontal_well.csv
726f3dc2,1,726f3dc2__horizontal_well.csv
7271dd80,4,7271dd80__horizontal_well.csv
727a3a10,3,727a3a10__horizontal_well.csv
729665c0,1,729665c0__horizontal_well.csv
729e9750,4,729e9750__horizontal_well.csv
729f4217,2,729f4217__horizontal_well.csv
72dd8501,1,72dd8501__horizontal_well.csv
73348914,3,73348914__horizontal_well.csv
739a914f,1,739a914f__horizontal_well.csv
73b1447d,4,73b1447d__horizontal_well.csv
74b6186b,3,74b6186b__horizontal_well.csv
75c20ec7,0,75c20ec7__horizontal_well.csv
75cd5f11,4,75cd5f11__horizontal_well.csv
75d20a82,2,75d20a82__horizontal_well.csv
76201745,1,76201745__horizontal_well.csv
764072a5,0,764072a5__horizontal_well.csv
77b0d905,0,77b0d905__horizontal_well.csv
77e4821c,3,77e4821c__horizontal_well.csv
7850c72e,3,7850c72e__horizontal_well.csv
78a4a386,1,78a4a386__horizontal_well.csv
79507629,4,79507629__horizontal_well.csv
796dbd4c,3,796dbd4c__horizontal_well.csv
7987f2f2,0,7987f2f2__horizontal_well.csv
7993a768,2,7993a768__horizontal_well.csv
7a5660b0,3,7a5660b0__horizontal_well.csv
7acda2df,4,7acda2df__horizontal_well.csv
7b2c7b3c,4,7b2c7b3c__horizontal_well.csv
7b38844c,1,7b38844c__horizontal_well.csv
7bb17b96,0,7bb17b96__horizontal_well.csv
7c607683,0,7c607683__horizontal_well.csv
7cbbd047,2,7cbbd047__horizontal_well.csv
7cd4bb31,2,7cd4bb31__horizontal_well.csv
7d50373e,3,7d50373e__horizontal_well.csv
7d57c75d,2,7d57c75d__horizontal_well.csv
7e208414,3,7e208414__horizontal_well.csv
7e721392,2,7e721392__horizontal_well.csv
7ff89f8f,0,7ff89f8f__horizontal_well.csv
8050c789,3,8050c789__horizontal_well.csv
807f0298,1,807f0298__horizontal_well.csv
811f52b3,4,811f52b3__horizontal_well.csv
81bf5923,1,81bf5923__horizontal_well.csv
81fc01c6,2,81fc01c6__horizontal_well.csv
8255c867,4,8255c867__horizontal_well.csv
82aab6d2,4,82aab6d2__horizontal_well.csv
82fcf37c,1,82fcf37c__horizontal_well.csv
833af382,0,833af382__horizontal_well.csv
8382f4b6,1,8382f4b6__horizontal_well.csv
84633df4,3,84633df4__horizontal_well.csv
8478df29,1,8478df29__horizontal_well.csv
84815d5a,1,84815d5a__horizontal_well.csv
84c3b497,1,84c3b497__horizontal_well.csv
85380836,0,85380836__horizontal_well.csv
8612b37f,2,8612b37f__horizontal_well.csv
861e71df,4,861e71df__horizontal_well.csv
86454a6f,1,86454a6f__horizontal_well.csv
8648abae,0,8648abae__horizontal_well.csv
865033f8,0,865033f8__horizontal_well.csv
87695469,1,87695469__horizontal_well.csv
877ed19c,4,877ed19c__horizontal_well.csv
87aa3730,4,87aa3730__horizontal_well.csv
884ecb5f,2,884ecb5f__horizontal_well.csv
8902c3f6,1,8902c3f6__horizontal_well.csv
896d15b9,1,896d15b9__horizontal_well.csv
8995c945,2,8995c945__horizontal_well.csv
89969c7a,4,89969c7a__horizontal_well.csv
89f1085d,4,89f1085d__horizontal_well.csv
89f36adf,1,89f36adf__horizontal_well.csv
89fdb2f2,2,89fdb2f2__horizontal_well.csv
8a3da6d1,3,8a3da6d1__horizontal_well.csv
8a89da23,2,8a89da23__horizontal_well.csv
8a9c8932,2,8a9c8932__horizontal_well.csv
8ac2f237,1,8ac2f237__horizontal_well.csv
8b12bab6,1,8b12bab6__horizontal_well.csv
8b5be31b,0,8b5be31b__horizontal_well.csv
8b95d6d1,0,8b95d6d1__horizontal_well.csv
8b9d8326,3,8b9d8326__horizontal_well.csv
8bb9c1e6,0,8bb9c1e6__horizontal_well.csv
8bda1a11,4,8bda1a11__horizontal_well.csv
8bfa881d,1,8bfa881d__horizontal_well.csv
8c167025,2,8c167025__horizontal_well.csv
8c8348e8,0,8c8348e8__horizontal_well.csv
8cc21f01,2,8cc21f01__horizontal_well.csv
8cc800b3,4,8cc800b3__horizontal_well.csv
8d5d46d7,1,8d5d46d7__horizontal_well.csv
8d92cb49,2,8d92cb49__horizontal_well.csv
8f201368,1,8f201368__horizontal_well.csv
90386ee4,2,90386ee4__horizontal_well.csv
91abc4c7,2,91abc4c7__horizontal_well.csv
91b301ce,4,91b301ce__horizontal_well.csv
91db7070,1,91db7070__horizontal_well.csv
925a7cd1,3,925a7cd1__horizontal_well.csv
9283ae69,0,9283ae69__horizontal_well.csv
9298ad5b,0,9298ad5b__horizontal_well.csv
9314ff13,3,9314ff13__horizontal_well.csv
93209a3d,4,93209a3d__horizontal_well.csv
939d9c34,1,939d9c34__horizontal_well.csv
93f5d2e6,2,93f5d2e6__horizontal_well.csv
940a48d9,3,940a48d9__horizontal_well.csv
940e709a,4,940e709a__horizontal_well.csv
9426ec1e,3,9426ec1e__horizontal_well.csv
94467f50,3,94467f50__horizontal_well.csv
944f36b9,0,944f36b9__horizontal_well.csv
94d813a4,2,94d813a4__horizontal_well.csv
95b559e7,4,95b559e7__horizontal_well.csv
95c8427f,4,95c8427f__horizontal_well.csv
96936c22,2,96936c22__horizontal_well.csv
96ae5806,2,96ae5806__horizontal_well.csv
96b7eea1,2,96b7eea1__horizontal_well.csv
9719aa04,0,9719aa04__horizontal_well.csv
974802e7,3,974802e7__horizontal_well.csv
97cd5bf9,0,97cd5bf9__horizontal_well.csv
98177ced,4,98177ced__horizontal_well.csv
9896fc0b,0,9896fc0b__horizontal_well.csv
98bc6f66,3,98bc6f66__horizontal_well.csv
992c99e8,0,992c99e8__horizontal_well.csv
992ce078,1,992ce078__horizontal_well.csv
99529c45,1,99529c45__horizontal_well.csv
995ff498,2,995ff498__horizontal_well.csv
999daf80,1,999daf80__horizontal_well.csv
9a6b0392,4,9a6b0392__horizontal_well.csv
9a8ae0d6,3,9a8ae0d6__horizontal_well.csv
9a95e33f,4,9a95e33f__horizontal_well.csv
9ab94eeb,0,9ab94eeb__horizontal_well.csv
9ad5410a,3,9ad5410a__horizontal_well.csv
9ae248be,3,9ae248be__horizontal_well.csv
9af1ffd0,3,9af1ffd0__horizontal_well.csv
9b5b61c1,0,9b5b61c1__horizontal_well.csv
9b9e3b49,3,9b9e3b49__horizontal_well.csv
9bd2bba3,2,9bd2bba3__horizontal_well.csv
9c211c53,2,9c211c53__horizontal_well.csv
9c350a6a,1,9c350a6a__horizontal_well.csv
9c8375f7,4,9c8375f7__horizontal_well.csv
9d072e4c,2,9d072e4c__horizontal_well.csv
9d3ec64c,3,9d3ec64c__horizontal_well.csv
9d4272e3,0,9d4272e3__horizontal_well.csv
9d5e14d4,1,9d5e14d4__horizontal_well.csv
9da441ba,2,9da441ba__horizontal_well.csv
9dede370,0,9dede370__horizontal_well.csv
9def2eb2,4,9def2eb2__horizontal_well.csv
9df1b1f9,3,9df1b1f9__horizontal_well.csv
9dfff011,0,9dfff011__horizontal_well.csv
9e3e364d,1,9e3e364d__horizontal_well.csv
9efc812e,3,9efc812e__horizontal_well.csv
9f0c7bae,3,9f0c7bae__horizontal_well.csv
9ffce529,2,9ffce529__horizontal_well.csv
a0383629,2,a0383629__horizontal_well.csv
a056d01e,4,a056d01e__horizontal_well.csv
a08d9e63,1,a08d9e63__horizontal_well.csv
a0b83014,0,a0b83014__horizontal_well.csv
a0e92ed6,3,a0e92ed6__horizontal_well.csv
a15bc102,4,a15bc102__horizontal_well.csv
a247e7cf,2,a247e7cf__horizontal_well.csv
a2e8e7f6,1,a2e8e7f6__horizontal_well.csv
a3518960,0,a3518960__horizontal_well.csv
a3f71395,4,a3f71395__horizontal_well.csv
a4719920,0,a4719920__horizontal_well.csv
a48640d9,0,a48640d9__horizontal_well.csv
a4cdbb0f,1,a4cdbb0f__horizontal_well.csv
a4f989c2,2,a4f989c2__horizontal_well.csv
a5aa7973,1,a5aa7973__horizontal_well.csv
a5e6f7dc,2,a5e6f7dc__horizontal_well.csv
a612d5a0,4,a612d5a0__horizontal_well.csv
a622ce4d,1,a622ce4d__horizontal_well.csv
a645da9a,0,a645da9a__horizontal_well.csv
a692b17e,0,a692b17e__horizontal_well.csv
a6b8ac67,0,a6b8ac67__horizontal_well.csv
a6ed2eff,2,a6ed2eff__horizontal_well.csv
a6f967fb,3,a6f967fb__horizontal_well.csv
a76db406,1,a76db406__horizontal_well.csv
a7744f5b,1,a7744f5b__horizontal_well.csv
a783cc24,2,a783cc24__horizontal_well.csv
a79fd2e7,4,a79fd2e7__horizontal_well.csv
a7fc3e6b,1,a7fc3e6b__horizontal_well.csv
a85bb86f,3,a85bb86f__horizontal_well.csv
a85e4bc3,0,a85e4bc3__horizontal_well.csv
a87433c9,4,a87433c9__horizontal_well.csv
a8ed028a,4,a8ed028a__horizontal_well.csv
a959858c,0,a959858c__horizontal_well.csv
a9c9b150,1,a9c9b150__horizontal_well.csv
aa95015b,4,aa95015b__horizontal_well.csv
aaaf3c03,1,aaaf3c03__horizontal_well.csv
aaeffccb,4,aaeffccb__horizontal_well.csv
ab112491,0,ab112491__horizontal_well.csv
ab18d3fc,0,ab18d3fc__horizontal_well.csv
ab3ced07,4,ab3ced07__horizontal_well.csv
ab6fe95d,3,ab6fe95d__horizontal_well.csv
ab94878e,1,ab94878e__horizontal_well.csv
abf460d2,3,abf460d2__horizontal_well.csv
ac6f01d5,2,ac6f01d5__horizontal_well.csv
ad2133a8,2,ad2133a8__horizontal_well.csv
add9c322,3,add9c322__horizontal_well.csv
ae069086,3,ae069086__horizontal_well.csv
ae0784a8,1,ae0784a8__horizontal_well.csv
ae35f33a,0,ae35f33a__horizontal_well.csv
ae8959c3,3,ae8959c3__horizontal_well.csv
aed44918,3,aed44918__horizontal_well.csv
aee6393a,1,aee6393a__horizontal_well.csv
af7a59ce,2,af7a59ce__horizontal_well.csv
aff4e561,0,aff4e561__horizontal_well.csv
b04b58a3,1,b04b58a3__horizontal_well.csv
b0d42b0d,3,b0d42b0d__horizontal_well.csv
b0f53bf4,2,b0f53bf4__horizontal_well.csv
b19b0395,0,b19b0395__horizontal_well.csv
b1efb8a4,2,b1efb8a4__horizontal_well.csv
b32902c0,4,b32902c0__horizontal_well.csv
b32e4903,4,b32e4903__horizontal_well.csv
b3388334,1,b3388334__horizontal_well.csv
b37fd114,1,b37fd114__horizontal_well.csv
b38e3116,0,b38e3116__horizontal_well.csv
b4d8dd4f,1,b4d8dd4f__horizontal_well.csv
b4f37e6e,1,b4f37e6e__horizontal_well.csv
b56bc0aa,3,b56bc0aa__horizontal_well.csv
b585b4fa,3,b585b4fa__horizontal_well.csv
b5aa9634,4,b5aa9634__horizontal_well.csv
b7974e66,0,b7974e66__horizontal_well.csv
b7cdcecb,1,b7cdcecb__horizontal_well.csv
b7fea9ef,1,b7fea9ef__horizontal_well.csv
b85f7b06,2,b85f7b06__horizontal_well.csv
b881d27e,3,b881d27e__horizontal_well.csv
b8c49c1a,0,b8c49c1a__horizontal_well.csv
b95e7121,0,b95e7121__horizontal_well.csv
b977be4a,2,b977be4a__horizontal_well.csv
ba48188d,0,ba48188d__horizontal_well.csv
bb2cdd83,1,bb2cdd83__horizontal_well.csv
bb337fa0,2,bb337fa0__horizontal_well.csv
bb682ebd,2,bb682ebd__horizontal_well.csv
bc4381e2,1,bc4381e2__horizontal_well.csv
bcebcc5f,4,bcebcc5f__horizontal_well.csv
bd2c2f34,1,bd2c2f34__horizontal_well.csv
bd4ae5da,0,bd4ae5da__horizontal_well.csv
bd6f0e19,1,bd6f0e19__horizontal_well.csv
bd8f847e,0,bd8f847e__horizontal_well.csv
be063506,3,be063506__horizontal_well.csv
be35c8f2,1,be35c8f2__horizontal_well.csv
be83e781,4,be83e781__horizontal_well.csv
beda8696,4,beda8696__horizontal_well.csv
bf39bc20,4,bf39bc20__horizontal_well.csv
